fold,repeat,fold_in_repeat,model,threshold,auc,accuracy,f1,precision,recall,mcc,ece_before,ece_after,T,brier,nll,adaptive_ece,calib_slope,calib_intercept,gate_w0,gate_w1,gate_w2
2,0,2,lstm_isotonic,0.41833333333333333,0.8826024285854648,0.8760162601626016,0.9245830494789695,0.8930155480820783,0.9584641138313454,0.5903888426655024,0.13496495569311792,0.009767543716114777,0.914070351758794,0.09373054910988421,0.3171816295093203,0.007065804811048975,0.9841815280426305,0.05562520505227478,,,
2,0,2,hard_moe,0.21999999999999997,0.76094807247151,0.8505475360876058,0.9119178584525119,0.8559823764284731,0.9756748273697426,0.4769607841871554,0.26227585636746853,0.2625813306682404,1.008542713567839,,,,,,,,
2,0,2,hard_moe_isotonic,0.45333333333333325,0.7628927197933936,0.8503816160610586,0.9118502407194702,0.8556620648534605,0.9759363883657669,0.4761295322196761,0.26227585636746853,0.0050080513309051465,,,,,,,,,
3,0,3,global,0.2958333333333333,0.8744368317200386,0.8781732205077153,0.9258689012847371,0.8945520167780325,0.9594580456162377,0.5980831162045691,0.06194495446073016,0.0680206156150331,1.0557788944723618,0.10139626412711428,0.3516451421022812,0.06295781505882267,0.7341609626567694,0.8650605362084458,,,
3,0,3,soft_moe,0.21416666666666667,0.8837234417084492,0.8783806205408993,0.9260268442829751,0.8943469785575049,0.9600334798074911,0.5985366861356137,0.17701079698765634,0.16242789142219313,0.8432160804020101,0.13291658484429633,0.42915625484236875,0.1770108013498694,1.0429392477694623,1.4266809884438982,0.1723741590976715,0.5208307504653931,0.3067931830883026
3,0,3,soft_moe_calibrated,0.17333333333333334,0.8837234417084492,0.8783391405342624,0.9260631727545439,0.8936894857198463,0.9608704749947687,0.5978900778497092,0.17701079698765634,0.16242789142219313,0.8432160804020101,,,,,,,,
3,0,3,soft_moe_isotonic,0.42999999999999994,0.8828615793639775,0.8784221005475361,0.9260502081493629,0.8943905648423413,0.9600334798074911,0.5986959104880529,0.17701079698765634,0.004417483819089525,0.8432160804020101,0.09318639482001767,0.3165647555385403,0.005727702442473809,0.9533844071966382,0.04666187446310084,,,
3,0,3,soft_moe_no_kl,0.24333333333333332,0.8836066037947805,0.8782147005143521,0.9254443880142205,0.8992301618634031,0.95323289391086,0.6023138172694499,0.16290041515969886,0.16290041515969886,,0.12892969212489613,0.4151855957498065,0.1629004163816674,1.0334401832471858,1.3472343424826907,0.43034830689430237,0.4443745017051697,0.1252773404121399
3,0,3,soft_moe_no_kl_isotonic,0.4591666666666666,0.8833230102669396,0.8782147005143521,0.9254330268705236,0.8993484055681706,0.9530759573132455,0.6024245695521031,0.16290041515969886,0.006058929100513967,,0.09318662340568565,0.3154627778315554,0.005641578983196253,0.959779303048882,0.03719660096497508,,,
3,0,3,tabnet,0.19083333333333333,0.8822940884113054,0.875933300149328,0.9249868331953954,0.8884231825408296,0.9646892655367232,0.5865224124448689,0.14033368868827178,0.14033368868827178,0.8432160804020101,0.12091825700458844,0.394831142689942,0.14033368818654818,1.013538985166497,1.204032133020002,,,
3,0,3,tabnet_isotonic,0.4066666666666666,0.8818784568806638,0.8758918201426912,0.9249711620442349,0.8883055582313842,0.9647938899351328,0.5863080725300036,0.14033368868827178,0.0066733190859973165,0.8432160804020101,0.0943212477476662,0.3166135724844725,0.006109287932300984,0.9711641546462864,0.020028668710112572,,,
3,0,3,lstm,0.15583333333333332,0.8832643633873625,0.8784635805541728,0.9259914119727204,0.895281820845951,0.9588826114249843,0.5995455416622897,0.17316290068016585,0.17316290068016585,0.9613065326633166,0.13357740062171097,0.4345368451501663,0.17316287773337705,0.9339733693220378,1.4877578962608708,,,
3,0,3,lstm_isotonic,0.4591666666666666,0.882767648995874,0.8785465405674465,0.926116578349735,0.8945598128107634,0.9599811676082862,0.599204307952255,0.17316290068016585,0.0076376390903792335,0.9613065326633166,0.09314822440620339,0.31599651440833837,0.006381909305256652,0.9635285164736656,0.02434107054114923,,,
3,0,3,hard_moe,0.20833333333333331,0.761392574216256,0.8605027376804381,0.9174703673709784,0.8640965192067674,0.9778719397363466,0.519231288950665,0.2829255186279694,0.28625605547999133,1.221105527638191,,,,,,,,
3,0,3,hard_moe_isotonic,0.4591666666666666,0.7657846507121164,0.8608760577401693,0.9173443737986101,0.8672071568353369,0.9736346516007532,0.5220477948657193,0.2829255186279694,0.004895385844601786,,,,,,,,,
4,0,4,global,0.2375,0.8738672658844651,0.8770532603285216,0.9257849666983825,0.8878589952934396,0.9670956267001465,0.5897167223837032,0.07357253423277876,0.07190614982543295,0.9849246231155779,0.10370168711983725,0.35215270513047625,0.07360759374767376,0.8013076040141168,0.8734283269682173,,,
4,0,4,soft_moe,0.19666666666666666,0.8809271073516747,0.8758503401360545,0.925180611454141,0.8859577727773256,0.9680372462858339,0.5846180803860817,0.1570001663334182,0.13588297672919017,0.7959798994974874,0.125495803734243,0.4079087898601724,0.15700015410778123,1.0588330853122727,1.282038527607005,0.17655910551548004,0.5313279628753662,0.2921109199523926
4,0,4,soft_moe_calibrated,0.15,0.8809271073516747,0.8760162601626016,0.9252170432084865,0.8866829712751163,0.967252563297761,0.5856131619468101,0.1570001663334182,0.13588297672919017,0.7959798994974874,,,,,,,,
